Transaction Date,Customer ID,Age,Gender,Item Purchased,Category,Quantity,Purchase Amount (THB),Cost Price (THB),Location,Subscription Status,Shipping Type,Payment Method,Previous Purchases,Campaign Name
11/1/2024,C100457,21,Male,Crewneck - Collegiate,Sweatshirts,1,2190,920,Bangkok,Inactive,Standard,E-Wallet,0,Social 2024-11
11/1/2024,C101077,24,Female,Belt - Webbing,Accessories,1,690,220,Chonburi,Active,Standard,Credit Card,1,Paid Search 2024-11
11/1/2024,C100547,26,Female,Tote Bag - Canvas,Accessories,1,990,300,Chiang Mai,Inactive,Standard,E-Wallet,0,Paid Search 2024-11
11/1/2024,C101438,30,Female,Crewneck - Collegiate,Sweatshirts,1,2190,920,Khon Kaen,Inactive,Standard,PromptPay,1,Email 2024-11
11/1/2024,C100108,29,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Bangkok,Active,Standard,Cash on Delivery,1,Paid Search 2024-11
11/1/2024,C100359,22,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Rayong,Inactive,Standard,Credit Card,3,Social 2024-11
11/1/2024,C102027,34,Male,Box Logo Tee,T-Shirts,1,990,390,Bangkok,Active,Standard,Credit Card,0,Paid Search 2024-11
11/1/2024,C101617,22,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Ayutthaya,Inactive,Express,Bank Transfer,0,Social 2024-11
11/1/2024,C100603,35,Male,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Chiang Mai,Inactive,Standard,Credit Card,1,Social 2024-11
11/1/2024,C101895,25,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Phuket,Active,Standard,E-Wallet,1,Paid Search 2024-11
11/1/2024,C100975,16,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Bangkok,Active,Standard,Credit Card,1,Paid Search 2024-11
11/1/2024,C102026,38,Female,Hoodie - Arch Logo,Hoodies,1,2490,1050,Bangkok,Active,Standard,Credit Card,2,Paid Search 2024-11
11/1/2024,C100237,28,Male,Varsity Jacket - Wool Blend,Outerwear,1,3990,1800,Bangkok,Active,Express,Credit Card,4,Paid Search 2024-11
11/1/2024,C101804,16,Female,Varsity Jacket - Wool Blend,Outerwear,2,7980,3600,Chonburi,Active,Standard,Bank Transfer,1,Paid Search 2024-11
11/1/2024,C102273,27,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Bangkok,Inactive,Standard,Credit Card,1,Social 2024-11
11/1/2024,C101719,24,Male,Shorts - Nylon,Bottoms,2,2980,1120,Rayong,Inactive,Express,PromptPay,1,Social 2024-11
11/1/2024,C102100,29,Female,Snapback Cap - Script Logo,Caps,1,1290,420,Rayong,Active,Express,Cash on Delivery,2,Social 2024-11
11/1/2024,C100327,32,Male,Crewneck - Embroidered,Sweatshirts,2,4780,1960,Ayutthaya,Inactive,Same-Day,PromptPay,0,Email 2024-11
11/1/2024,C102141,27,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Chiang Mai,Active,Standard,Credit Card,4,Social 2024-11
11/1/2024,C102389,33,Female,Shorts - Twill,Bottoms,1,1590,600,Bangkok,Active,Express,PromptPay,1,Paid Search 2024-11
